LATITUDE,LONGITUDE,STATE,LOCALITY,SUBLOCALITY,POSTCODE,PROPERTY_CATEGORY
40.8131429,-73.808397,New York,New York,The Bronx,10465,building
40.8524948,-73.9151397,New York,New York,The Bronx,10453,building
40.6541622,-73.8846778,New York,New York,Brooklyn,11207,building
40.6826476,-73.9434923,New York,New York,Bedford-Stuyvesant,11216,
40.618915,-73.931211,New York,New York,Brooklyn,11234,building
40.6268305,-74.1471405,New York,New York,Staten Island,10303,building
40.6826476,-73.9434923,New York,New York,Bedford-Stuyvesant,11216,
40.6826476,-73.9434923,New York,New York,Bedford-Stuyvesant,11216,
40.7779497,-73.959448,New York,New York,Manhattan,10028,
40.8560699,-73.8688751,New York,New York,The Bronx,10462,building
40.6162917,-73.929914,New York,New York,Marine Park,11234,
40.8181836,-73.812739,New York,New York,The Bronx,10465,
40.7802813,-73.7818912,New York,New York,Queens,11360,building
40.6149561,-74.0745548,New York,New York,Staten Island,10305,building
40.6422956,-73.972787,New York,New York,Brooklyn,11218,building
40.6279352,-74.0260154,New York,New York,Brooklyn,11209,building
40.6192765,-74.09515,New York,New York,Staten Island,10301,
40.7598591,-73.7290086,New York,New York,Queens,11362,building
40.7000145,-73.9010076,New York,New York,Queens,11385,building
40.7860789,-73.7928524,New York,New York,Queens,11360,building
40.5675492,-74.140764,New York,New York,Staten Island,10306,building.residential
40.6799197,-73.8839962,New York,New York,Brooklyn,11208,building
40.5525576,-74.1709014,New York,New York,Staten Island,10312,building.residential
40.879078,-73.9175196,New York,New York,The Bronx,10463,building
40.6862289,-73.9364224,New York,New York,Brooklyn,11221,building
40.6862289,-73.9364224,New York,New York,Brooklyn,11221,building
40.8152029,-73.8154969,New York,New York,The Bronx,10465,building
40.9048823,-73.9051113,New York,New York,The Bronx,10471,
40.7585686,-73.9669708,New York,New York,Manhattan,10022,building.residential
40.8549429,-73.7908303,New York,New York,The Bronx,10464,building
40.777244,-73.9868738,New York,New York,Manhattan,10023,building.residential
40.7083799,-73.8290102,New York,New York,Queens,11415,building.residential
40.606691,-74.0724094,New York,New York,Staten Island,10305,building.residential
40.6933533,-73.7503369,New York,New York,Queens,11412,building
40.7276196,-73.9848906,New York,New York,Manhattan,10009,building.residential
40.6481943,-73.8452374,New York,New York,Queens,11414,building
40.525422,-74.166603,New York,New York,Staten Island,10312,building.residential
40.6780476,-73.8056181,New York,New York,Queens,11420,building
40.6333513,-74.1021333,New York,New York,Staten Island,10301,building
40.660323,-73.8455929,New York,New York,Queens,11414,
40.6784764,-73.8476859,New York,New York,Queens,11417,building
40.6444117,-73.9100389,New York,New York,Brooklyn,11236,building
40.5132339,-74.1959753,New York,New York,Staten Island,10309,building.residential
40.6776809,-73.8166457,New York,New York,Queens,11420,building
40.7644631,-73.8297531,New York,New York,Queens,11354,building.residential
40.842629,-73.8665973,New York,New York,The Bronx,10460,building
40.7827104,-73.8457691,New York,New York,Queens,11356,building
40.8180374,-73.9436858,New York,New York,Manhattan,10030,building
40.5343966,-74.1582874,New York,New York,Staten Island,10312,building.residential
40.6712528,-73.9716506,New York,New York,Brooklyn,11215,building
40.6685186,-73.9175924,New York,New York,Brooklyn,11212,building
40.6753179,-73.9008593,New York,New York,Brooklyn,11207,building
40.89582,-73.9110766,New York,New York,Riverdale,10471,
40.7051444,-73.8030054,New York,New York,Queens,11432,building.residential
40.578639,-73.965449,New York,New York,Brighton Beach,11235,
40.5844107,-73.9380366,New York,New York,Brooklyn,11235,building
