price,beds,bath,propertysqft,borough,property_category,type,sublocality_ext,postcode,state_ext,latitude,longitude,price_per_sqft
315000,2,2.0,1400.0,East 55th Street,Commercial,condo,Manhattan,10022,New York,40.761255,-73.9744834,225.0
260000,4,2.0,2015.0,Staten Island,Residential,house,Staten Island,10312,New York,40.5418051,-74.1961086,129.03225806451613
69000,3,1.0,445.0,New York,Commercial,condo,Manhattan,10022,New York,40.7613979,-73.9746128,155.0561797752809
899500,2,2.0,2184.207862,Manhattan,Residential,condo,Manhattan,10027,New York,40.809448,-73.946777,411.8197794491777
265000,1,1.0,750.0,Morrison Avenue,Residential,co-op,The Bronx,10473,New York,40.8215857,-73.8740892,353.3333333333333
440000,2,1.0,978.0,Midwood,Residential,co-op,Brooklyn,11230,New York,40.6157378,-73.9696944,449.89775051124747
375000,2,1.0,850.0,Concourse Village,Residential,co-op,The Bronx,10451,New York,40.8248699,-73.9229829,441.1764705882353
689000,3,2.3738608579684373,1162.0,Staten Island,Residential,townhouse,Staten Island,10303,New York,40.6249962,-74.1553058,592.9432013769364
259000,3,1.0,2184.207862,Flushing,Residential,co-op,Queens,11372,New York,40.7531191,-73.8818757,118.57845789587218
430000,2,2.0,2184.207862,Elmhurst,Residential,co-op,Queens,11373,New York,40.7438639,-73.8745722,196.8677100201739
549000,2,2.0,1000.0,Annadale,Residential,condo,Staten Island,10312,New York,40.5406209,-74.1671632,549.0
975000,3,2.0,1734.0,Queens,Residential,townhouse,Queens,11377,New York,40.7607676,-73.9056672,562.2837370242214
199000,3,1.0,325.0,Fort Hamilton,Residential,co-op,Brooklyn,11209,New York,40.6181029,-74.0369047,612.3076923076923
350000,1,1.0,700.0,North Riverdale,Residential,co-op,The Bronx,10471,New York,40.9073699,-73.9065578,500.0
599000,2,2.0,974.0,Rego Park,Residential,condo,Queens,11374,New York,40.7324713,-73.8670804,614.9897330595483
639999,3,2.0,1260.0,Staten Island,Residential,house,Staten Island,10301,New York,40.6207403,-74.1114362,507.9357142857143
1300000,2,2.0,1244.0,Forest Hills,Residential,condo,Queens,11375,New York,40.7202429,-73.8430513,1045.016077170418
1100000,6,3.0,2837.0,The Bronx,Residential,multi-family home,The Bronx,10465,New York,40.8343936,-73.8221101,387.73352132534365
750000,2,2.0,1330.0,Staten Island,Residential,house,Staten Island,10307,New York,40.5039785,-74.2396555,563.9097744360902
1690000,6,4.0,2200.0,Queens,Residential,multi-family home,Queens,11435,New York,40.710749,-73.809486,768.1818181818181
325000,1,1.0,2184.207862,Jackson Heights,Residential,co-op,Queens,11372,New York,40.7505078,-73.8851355,148.79536222455002
230000,1,1.0,2184.207862,Queens,Residential,co-op,Queens,11372,New York,40.7557689,-73.8734231,105.30133326660463
925000,5,2.0,2750.0,The Bronx,Residential,multi-family home,The Bronx,10465,New York,40.8242389,-73.8173809,336.3636363636364
848000,5,4.0,2080.0,Brooklyn,Residential,multi-family home,Brooklyn,11207,New York,40.6615475,-73.898309,407.6923076923077
279000,1,1.0,750.0,Midwood,Residential,co-op,Brooklyn,11210,New York,40.6179165,-73.9546305,372.0
528000,1,1.0,602.0,Dyker Heights,Residential,condo,Brooklyn,11204,New York,40.6275896,-74.0016198,877.0764119601329
700000,6,2.0,3053.0,The Bronx,Residential,multi-family home,The Bronx,10453,New York,40.852813,-73.9176871,229.28267278087128
699000,4,3.0,1591.0,Queens,Residential,multi-family home,Queens,11435,New York,40.6847504,-73.8027331,439.3463230672533
